Date,AAPL,MSFT,ORCL,CSCO,IBM,INTC,TXN,JPM,BAC,WFC,GS,MS,AXP,GOOGL,DIS,CMCSA,VZ,AMZN,HD,MCD,NKE,LOW,JNJ,MRK,PFE,UNH,ABT,AMGN,CAT,HON,UPS,UNP,LMT,MMM,PG,KO,PEP,WMT,COST,XOM,CVX,COP,SLB,NEE,DUK,SO,SHW,APD,AMT,PLD
2010-01-05,0.0017275262519746981,0.0003228158179955365,-0.001207920218057712,-0.004464726687328113,-0.01215341130926273,-0.0004791589416557329,-0.005783419515304811,0.019184769713419758,,0.027082127583084148,0.01752551639006139,0.03590573138176012,-0.002201522754409435,-0.004413234105401287,,-0.013646037012333911,0.0018011828791610895,0.00588255307742247,0.00729794278324114,-0.007675016671931267,,-0.010417013261749375,-0.011663435525989918,0.004045007370431453,-0.014365628359727545,-0.0015868283310629394,-0.008112026757457702,-0.008700031357835591,0.011884863664594736,0.001980641913509551,0.0017174931650010272,0.013820290637144517,0.010355906463930253,-0.006283404860286446,0.00032709827106325307,-0.012170918663345187,0.012011552757190902,-0.010007603083376448,-0.003034427418930008,0.0038970817273020764,0.007058787547836509,0.000950640144100845,0.0028268547474312733,-0.009813500322132018,-0.0166374454575422,-0.02035632740205706,-0.023959242733823327,-0.008331411749429751,0.01643116396809363,0.014478882028771345
2010-01-06,-0.016034208042205567,-0.006155890657117524,-0.014610494604211155,-0.006530867322207534,-0.006517411099969728,-0.003359706898365289,-0.007374946196415433,0.005478942226121664,0.01166001335534883,0.0014240714117739195,-0.010730704860026918,0.012715045013607096,0.016035234081993366,-0.02553202297687429,-0.005328345253842848,-0.007194422127987377,-0.029175596835911755,-0.018281731831784498,-0.0034685598560288966,-0.0137379034165237,-0.006115307062589892,0.002614416116852869,0.00810089614207321,0.01336572308203543,-0.0032205350524869836,0.009799150812529689,0.0055381393964752945,-0.007543292016234382,0.0030335945039174916,0.0,-0.007405344362086286,0.0015075752061215475,-0.014789923037181296,0.014082277492337258,-0.004754390397767594,-0.0003551782488488975,-0.010053397202264946,-0.0022374788225656417,0.01291610739613036,0.008605584338251315,0.0001249546647299482,0.007194177819588532,,0.009813500322132018,,0.014020117281456024,-0.013207781094783488,-0.008279607972127234,0.005192544267515142,-0.008975605848242196
2010-01-07,-0.0018503251093364703,-0.010454168966382849,-0.003276382667523059,0.004494096244305634,-0.0034672532359607544,-0.00966178028701803,0.003112207527505184,0.01961575259423265,0.03241619932757933,0.03564326954224395,0.019379039439278323,0.01437959854064852,0.01608896335069243,-0.02355479055167775,0.00031417366089447896,0.020840459140321288,-0.005969935155351269,-0.017159649127417742,0.01174490855508381,0.007296749394767321,0.00976662087352409,0.028315971950074736,-0.0071628991194736535,0.001592028478686558,-0.0037710209076950996,0.03765846366440462,0.008250018056433106,-0.009198839086069555,0.004030051871533935,0.019108837025573866,-0.007634909084007546,-0.008925445525495679,-0.02783122132265925,0.0007169935369240044,-0.005438081614289381,-0.0024879972528624172,-0.006376634858469732,,-0.00484467335918648,-0.0031466067925052243,-0.003774507723447673,,,-0.0028208851791671208,0.004764889895131574,-0.004245843018776618,0.008879892812552637,-0.0057633542509907265,-0.0027055927737666963,0.008198172180644114
2010-01-08,0.006626167363748214,0.006872940411446926,0.012230318798137851,0.005285918930640676,,0.011103047152857926,0.02265375644265344,-0.002459061770532678,-0.008899952328545346,-0.009312015331986778,-0.019092457374625837,-0.02056191626440418,-0.0007147285796911262,0.013243062225593683,0.0015695300420000002,-0.0029505754062286726,0.0006299238452003308,0.02671684661154039,-0.004819582608682538,-0.000969906501997464,-0.0019759674498120994,-0.002116908772744175,0.003432391222151221,-0.0005302725739859682,0.008062838087457891,-0.009434825700469496,0.005099552260912965,0.00884636686812934,0.011165746758283301,,0.04695514154960012,0.033323641925060876,0.015998320547871092,0.0070217917996560075,-0.001322353052170655,-0.018681928492212396,-0.0032859630120762873,,-0.007227689275928206,-0.004019966930203012,0.0017635193949026018,0.008674911360037285,0.016267431604157778,-0.008700934328338406,0.0005937097243853273,-0.002130176409015583,0.008471245841620956,0.00637440579105375,0.0020294056149636752,-0.002725078046759144
2010-01-11,,-0.012801743614964334,0.0004050546017575485,-0.0028425320281417754,-0.010525323577011747,0.005744876482153938,-0.012992210810525151,-0.0033628404575378745,0.008899952328545346,-0.002081684177156262,-0.01590215496334313,-0.006532727289851437,-0.011508459937839,-0.0015127147045790323,-0.016445515677137923,-0.0065226329486047785,0.004086114076119696,-0.024335059371661805,-0.028703603740379613,0.007731791905338792,-0.012401709356078872,-0.008514939602952243,0.00015561588091950185,0.003971027596019194,,0.006704587351094915,0.005073266284957523,0.004394008635834723,0.06091708899909465,0.012504832883352357,0.04309952523038918,,0.004750042354456863,-0.004040917946575462,-0.003978503999021221,0.020104861662439077,-0.001152125927639247,0.016366783072886637,0.0011799571171851042,0.011157489902564155,0.017587061075722055,0.005802680790286008,0.0,-0.0007595911940274647,0.010044311867116296,0.013012435082293106,-0.013822986169863327,0.01816228432064948,-0.009053503803698959,0.0011686415933165328
2010-01-12,-0.011440094699405767,-0.0066292580108009425,-0.00527922782123369,-0.015987336319776446,0.00792330342958003,-0.016362771916226038,-0.042827307239274415,-0.023632260330245014,-0.03424820347467339,-0.02531732937917175,-0.022040903020164038,-0.028813552311017787,0.013175366015368617,-0.017842158890967852,-0.01736934369905363,-0.018008103571460765,0.0009405887007454261,,-0.006412323025861699,0.005441141886494805,-0.001387289037931172,-0.002568198377469688,0.0052802156081313,-0.007957703383734582,-0.003191095867133509,-0.026782872975442018,-0.002895945586148141,-0.01751457025042491,-0.02991422026031243,-0.011318291499606836,-0.0067079153436071515,-0.002963093335846434,-0.00013163213220268588,0.0008334302165367014,0.011396030697332193,0.010782096797289142,0.013906059012371408,0.00954628818551262,-0.005406000678735534,-0.004990861405353986,-0.005828420845626958,-0.02150980670147229,-0.015117355876440808,-0.02463596778642918,0.001175199337086319,-0.006333593679736627,-0.003528152484310265,-0.012800391466724736,-0.012354552351447001,-0.022446191263463255
2010-01-13,0.014006597177978808,0.009268687893363659,0.009724991500343894,0.018018179650096222,-0.0021475929406573613,0.016839468880662345,0.004405935867894062,0.01732440027569515,0.015767416104704335,0.01764930953321109,0.007420796186650591,0.004167438615052088,0.003089241220695982,-0.005757641131733937,0.015134666244819961,0.015625975084947452,-0.0012543641184743493,0.013725599220580254,0.005346571391690702,-0.0011179157817111651,,,0.006330570028749705,,0.02317083920825036,,0.009449289209781053,0.008883990542511544,0.0014447574886919945,0.0035504817336629024,-0.005302276942231288,0.001186484571782831,0.01203886225739037,-0.0032176311872307295,0.010293524425959433,0.0026335840791364973,0.008090609983402608,0.0051034654203410135,0.00624867563039766,-0.004010822877258402,-0.0076147170150879795,0.006274711389355314,0.017944139821082228,0.0035013151961060807,0.002345883322453002,0.014120744333754764,0.0127089307563244,0.00991641238062213,0.02095748570800815,0.02672023854212302
2010-01-14,-0.005808392692730147,0.019899432944455064,0.02355838717524117,0.012502922503634828,0.01584542615858453,0.024506770968686364,-0.01246708364798721,0.009894354647746795,0.011961788106770399,0.014244133559224714,-0.003199337178403816,-0.0019212484576129896,0.012495785368368928,0.004690162664946929,,-0.005981190339477305,-0.020605764341549815,-0.013725599220580254,0.0060250303273439165,0.0009585762827151179,-0.006289236389916741,-0.0012922316838337444,0.0019987342313698697,0.02686456586302466,0.008811205279409595,0.02368785558496711,0.0010841895123512302,-0.006566867316028624,-0.005631042633067906,0.0058900039857165964,0.002091801754839917,-0.016287545878739262,-0.0005205623907205137,-0.0033470680062905878,0.0009748987378790375,0.0017518773922367004,0.01201463959009752,-0.014649753605853633,-0.011514401817452669,0.00014322440706138195,-0.003137552681760525,0.004160481284920525,0.006191383713602061,-0.029358761149471668,0.0,-0.0023894684563474655,0.005799287283475341,-0.012472040495087544,0.0056201899988628234,-0.003884372269212122
2010-01-15,-0.01685348392706132,-0.003235349360452666,-0.003953743616154526,-0.022290675293453077,-0.004013798300674942,-0.032169611281116506,-0.00853523212393359,-0.022859287185480692,-0.03386046761906236,-0.0318934430924358,-0.01989609610537446,-0.026633645332340805,-0.006817836489498408,-0.016840127836277752,-0.013631881732210527,-0.002402158576387592,-0.02071288620991618,-0.0016503527607931723,0.00949550675022337,-0.005924039964062544,-0.009275205193036928,0.0012973399575826328,-0.008329304260119574,-0.013088639347882403,0.0056594253772117575,0.01282250225606818,0.0025264383890299946,0.0016014424489623202,-0.023669817439788243,,-0.0043500179119311255,-0.012277257348451531,-0.0010416906265735548,,-0.012418592410829543,-0.014812559672648717,-0.00815413824933131,-0.009825310557732614,0.00119184544578399,-0.00821386375268185,-0.004031014593009807,0.0007551118029605064,-0.006473527230613563,0.01073992027690407,-0.010008445942289335,-0.0029945944391540635,-0.022386787576609724,0.008493108165458452,-0.013768481207884431,-0.0046825013396358806
2010-01-19,0.04328791691974354,0.007747159973954698,0.003558940892110396,0.018274521507960273,0.017750235591081243,0.011947745994674186,0.008939564074593065,-0.009200146970110179,0.0036834348384413573,0.007097436406609869,0.009937774052951376,0.025350525998189877,0.013356806854333936,0.013052426703278552,0.013309719784294405,0.01076547740237821,0.021032967546715575,0.003689890929744255,0.010792052206610947,0.019084758267963853,0.004957494489933101,-0.0008647803648100805,0.012162398377378203,0.02871949744641311,0.02583113447640839,0.04007525538115342,0.012713900689239832,0.022848291121110087,0.013383286467491207,0.0051471316229156905,0.005153901055876986,-0.0007628790336458025,0.019991737095912843,0.020773870077098078,0.014689267715400245,0.0023068739927305515,0.0006418026597647675,0.0064991820461974825,0.0027177332345020844,0.002312754826638841,0.0056638741676966475,0.012930035186455413,0.0014107191136525365,0.006703888149208748,0.011179896723652494,0.009254667807945705,0.0030369920554407237,,0.004308792594730715,0.019365394662162583
